Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET-Experimental/Case01-Tag2HtmlPageScope-StripScriptTag.jsp?userinput=,userinput,,[220],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET-Experimental/Case01-Tag2HtmlPageScope-StripScriptTag.jsp", using HTTP method GET. The sent data was: "userinput=" The modified parameter was "userinput". This vulnerability was found in the request with id 220.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET-Experimental/Case03-Tag2HtmlPageScope-ConstantAntiCSRFToken.jsp?anticsrf=0.9392624474913156&userinput=,userinput,,[255],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET-Experimental/Case03-Tag2HtmlPageScope-ConstantAntiCSRFToken.jsp", using HTTP method GET. The sent data was: "anticsrf=0.9392624474913156&userinput=" The modified parameter was "userinput". This vulnerability was found in the request with id 255.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET-Experimental/Case06-ScriptlessInjectionInBaseTagHrefAttribute.jsp?userinput=eazjc%20=,userinput,,[262],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET-Experimental/Case06-ScriptlessInjectionInBaseTagHrefAttribute.jsp", using HTTP method GET. The sent data was: "userinput=eazjc%20%3D" The modified parameter was "userinput". This vulnerability was found in the request with id 262.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET-Experimental/Case07-ScriptlessInjectionInScriptTagSrcAttribute.jsp?userinput=0qhxw/*,userinput,,[272],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET-Experimental/Case07-ScriptlessInjectionInScriptTagSrcAttribute.jsp", using HTTP method GET. The sent data was: "userinput=0qhxw%2F%2A" The modified parameter was "userinput". This vulnerability was found in the request with id 272.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case15-Vbs2VbsEventScope.jsp?userinput=ktw5k'ktw5k,userinput,,[303],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case15-Vbs2VbsEventScope.jsp", using HTTP method GET. The sent data was: "userinput=ktw5k%27ktw5k" The modified parameter was "userinput". This vulnerability was found in the request with id 303.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case16-Js2ScriptSupportingProperty.jsp?userinput=x3irt/*,userinput,,[325],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case16-Js2ScriptSupportingProperty.jsp", using HTTP method GET. The sent data was: "userinput=x3irt%2F%2A" The modified parameter was "userinput". This vulnerability was found in the request with id 325.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case22-Js2ScriptTagDoubleQuoteDelimiter.jsp?userinput=vmh6t/*,userinput,,[332],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case22-Js2ScriptTagDoubleQuoteDelimiter.jsp", using HTTP method GET. The sent data was: "userinput=vmh6t%2F%2A" The modified parameter was "userinput". This vulnerability was found in the request with id 332.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case30-Tag2HtmlPageScopeMultipleVulnerabilities.jsp?userinput=&userinput2=1234,userinput,,[339],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case30-Tag2HtmlPageScopeMultipleVulnerabilities.jsp", using HTTP method GET. The sent data was: "userinput=&userinput2=1234" The modified parameter was "userinput". This vulnerability was found in the request with id 339.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case30-Tag2HtmlPageScopeMultipleVulnerabilities.jsp?userinput=1234&userinput2=,userinput2,,[340],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case30-Tag2HtmlPageScopeMultipleVulnerabilities.jsp", using HTTP method GET. The sent data was: "userinput=1234&userinput2=" The modified parameter was "userinput2". This vulnerability was found in the request with id 340.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case29-Vbs2ScriptTagOLCommentScope.jsp?userinput=pvft8/*,userinput,,[349],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case29-Vbs2ScriptTagOLCommentScope.jsp", using HTTP method GET. The sent data was: "userinput=pvft8%2F%2A" The modified parameter was "userinput". This vulnerability was found in the request with id 349.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case32-Tag2HtmlPageScopeValidViewstateRequired.jsp?userinput=&__VIEWSTATE=/wEPDwUENTM4MWRkhsjF+62gWnhYUcEyuRwTHxGDVzA=,userinput,,[352],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case32-Tag2HtmlPageScopeValidViewstateRequired.jsp", using HTTP method GET. The sent data was: "...userinput=..." The modified parameter was "userinput". This vulnerability was found in the request with id 352.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case28-Js2ScriptTagMLCommentScope.jsp?userinput=eerlm`eerlm,userinput,,[357],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case28-Js2ScriptTagMLCommentScope.jsp", using HTTP method GET. The sent data was: "userinput=eerlm%60eerlm" The modified parameter was "userinput". This vulnerability was found in the request with id 357.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case12-Js2JsEventScope.jsp?userinput=n2sk6/*,userinput,,[368],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case12-Js2JsEventScope.jsp", using HTTP method GET. The sent data was: "userinput=n2sk6%2F%2A" The modified parameter was "userinput". This vulnerability was found in the request with id 368.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case23-Js2ScriptTagSingleQuoteDelimiter.jsp?userinput=ppwnh`ppwnh,userinput,,[393],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case23-Js2ScriptTagSingleQuoteDelimiter.jsp", using HTTP method GET. The sent data was: "userinput=ppwnh%60ppwnh" The modified parameter was "userinput". This vulnerability was found in the request with id 393.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case31-Tag2HtmlPageScopeDuringException.jsp?userinput=,userinput,,[400],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case31-Tag2HtmlPageScopeDuringException.jsp", using HTTP method GET. The sent data was: "userinput=" The modified parameter was "userinput". This vulnerability was found in the request with id 400.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case25-Vbs2ScriptTagDoubleQuoteDelimiter.jsp?userinput=jpnx3"jpnx3,userinput,,[407],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case25-Vbs2ScriptTagDoubleQuoteDelimiter.jsp", using HTTP method GET. The sent data was: "userinput=jpnx3%22jpnx3" The modified parameter was "userinput". This vulnerability was found in the request with id 407.|
Cross site scripting vulnerability,GET,http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case01-Tag2HtmlPageScope.jsp?userinput=,userinput,,[413],|A Cross Site Scripting vulnerability was found at: "http://192.168.1.1:8080/wavsep/active/Reflected-XSS/RXSS-Detection-Evaluation-GET/Case01-Tag2HtmlPageScope.jsp", using HTTP method GET. The sent data was: "userinput=" The modified parameter was "userinput". This vulnerability was found in the request with id 413.|
